instant,dteday,season,mnth,holiday,weekday,workingday,weathersit,windspeed,casual,registered,cnt,temp °C,atemp °C,hum %,year
45,2011-02-14,winter,2,0,Monday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",27.999836,208,1705,1913,11.504999999999999,10.2911,37.583299999999994,2011
46,2011-02-15,winter,2,0,Tuesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",19.522058,140,1675,1815,4.506089000000001,0.7820840000000011,31.434800000000003,2011
47,2011-02-16,winter,2,0,Wednesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",16.869996999999998,218,1897,2115,6.958267000000001,4.869199999999999,42.3478,2011
48,2011-02-17,winter,2,0,Thursday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",15.416968,259,2216,2475,12.484151,12.291428,50.5,2011
49,2011-02-18,winter,2,0,Friday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",17.749975000000003,579,2348,2927,16.518349,17.790878,51.6667,2011
50,2011-02-19,winter,2,0,Saturday,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",34.000021,532,1103,1635,10.760849,9.832663999999998,18.7917,2011
51,2011-02-20,winter,2,0,Sunday,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",14.956745,639,1173,1812,5.405199,2.3037799999999997,40.7826,2011
52,2011-02-21,winter,2,1,Monday,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",20.625682,195,912,1107,6.2566510000000015,2.7489500000000007,60.5,2011
53,2011-02-22,winter,2,0,Tuesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",13.110761,74,1376,1450,0.5644340000000003,-3.7218219999999995,57.7778,2011
54,2011-02-23,winter,2,0,Wednesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",6.3055710000000005,139,1778,1917,2.4217329999999997,0.21732199999999935,42.3043,2011
55,2011-02-24,winter,2,0,Thursday,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",16.783231999999998,100,1707,1807,5.895644000000001,3.0866059999999997,69.7391,2011
56,2011-02-25,winter,2,0,Friday,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",23.218113,120,1341,1461,9.124355999999999,7.130426,71.2174,2011
57,2011-02-26,winter,2,0,Saturday,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",12.500257,424,1545,1969,5.277499999999998,2.6246720000000003,53.7917,2011
58,2011-02-27,winter,2,0,Sunday,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",8.391615999999999,694,1708,2402,8.143466,7.173193999999999,68.0,2011
59,2011-02-28,winter,2,0,Monday,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",19.408962,81,1365,1446,11.141831,10.407787999999996,87.63640000000001,2011
60,2011-03-01,winter,3,0,Tuesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",14.500475,137,1714,1851,4.533348999999999,1.416013999999997,53.5,2011
61,2011-03-02,winter,3,0,Wednesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",20.624811,231,1903,2134,7.745000000000001,5.1246860000000005,44.9583,2011
62,2011-03-03,winter,3,0,Thursday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",15.125518000000001,123,1562,1685,1.321651000000001,-2.7912219999999994,31.833299999999998,2011
63,2011-03-04,winter,3,0,Friday,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",13.624182,214,1730,1944,4.298349,0.8748140000000006,61.0417,2011
64,2011-03-05,winter,3,0,Saturday,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",16.875357,640,1437,2077,10.055848999999998,8.999413999999998,78.91669999999999,2011
65,2011-03-06,winter,3,0,Sunday,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",23.000229,114,491,605,9.696534,8.172632,94.8261,2011
66,2011-03-07,winter,3,0,Monday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",22.870584,244,1628,1872,4.3017330000000005,-0.26157399999999953,55.1304,2011
67,2011-03-08,winter,3,0,Tuesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",8.083549999999999,316,1817,2133,5.747499999999999,3.958400000000001,42.0833,2011
68,2011-03-09,winter,3,0,Wednesday,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",14.750050000000002,191,1700,1891,5.904151000000001,2.916127999999997,77.5417,2011
69,2011-03-10,winter,3,0,Thursday,1,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",17.545759,46,577,623,10.287277,9.454088000000002,0.0,2011
70,2011-03-11,winter,3,0,Friday,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",15.60899,247,1730,1977,6.876534000000001,4.129999999999999,64.95649999999999,2011
71,2011-03-12,winter,3,0,Saturday,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",14.791924999999999,724,1408,2132,7.470848999999999,5.499499999999998,59.458299999999994,2011
72,2011-03-13,winter,3,0,Sunday,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",18.130468,982,1435,2417,10.064356,9.086006000000001,52.73910000000001,2011
73,2011-03-14,winter,3,0,Monday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",9.174042,359,1687,2046,7.285198999999999,5.912000000000003,49.695699999999995,2011
74,2011-03-15,winter,3,0,Tuesday,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",12.348703,289,1767,2056,6.917376999999998,4.999748,65.5652,2011
75,2011-03-16,winter,3,0,Wednesday,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",13.608839,321,1871,2192,9.165199000000001,8.217379999999999,77.65220000000001,2011
76,2011-03-17,winter,3,0,Thursday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",14.041792999999998,424,2320,2744,11.504999999999999,11.081978,60.291700000000006,2011
77,2011-03-18,winter,3,0,Friday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",15.478139,884,2355,3239,17.380000000000003,18.782593999999996,52.5217,2011
78,2011-03-19,winter,3,0,Saturday,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",24.667189,1424,1693,3117,14.2075,14.790650000000003,37.9167,2011
79,2011-03-20,winter,3,0,Sunday,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",13.917307,1047,1424,2471,7.627500000000001,5.499499999999998,47.375,2011
80,2011-03-21,spring,3,0,Monday,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",19.348461,401,1676,2077,12.230445,11.04251,73.73910000000001,2011
81,2011-03-22,spring,3,0,Tuesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",15.125250000000001,460,2243,2703,12.758348999999999,13.082372,62.4583,2011
82,2011-03-23,spring,3,0,Wednesday,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",15.695487,203,1918,2121,8.306979000000002,6.303974,83.9565,2011
83,2011-03-24,spring,3,0,Thursday,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",16.333729,166,1699,1865,5.395,1.8749779999999987,80.58330000000001,2011
84,2011-03-25,spring,3,0,Friday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",15.458575000000002,300,1910,2210,4.415849,0.9165919999999979,49.5,2011
85,2011-03-26,spring,3,0,Saturday,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",14.041257,981,1515,2496,4.494150999999999,0.9996860000000005,39.4167,2011
86,2011-03-27,spring,3,0,Sunday,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",12.348099999999999,472,1221,1693,3.893021000000001,0.5223739999999992,49.3913,2011
87,2011-03-28,spring,3,0,Monday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",14.217668,222,1806,2028,4.424356000000001,0.9998840000000015,30.2174,2011
88,2011-03-29,spring,3,0,Tuesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",15.208732,317,2108,2425,6.217499999999999,3.3319280000000013,31.4167,2011
89,2011-03-30,spring,3,0,Wednesday,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",11.583495999999998,168,1368,1536,6.1,3.6250999999999998,64.6667,2011
90,2011-03-31,spring,3,0,Thursday,1,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",14.582282000000001,179,1506,1685,4.611651,0.9999499999999983,91.8333,2011
91,2011-04-01,spring,4,0,Friday,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",17.333436,307,1920,2227,6.1,2.7079640000000005,68.625,2011
92,2011-04-02,spring,4,0,Saturday,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",13.208782,898,1354,2252,6.805,4.832042000000001,65.375,2011
93,2011-04-03,spring,4,0,Sunday,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",12.208271000000002,1651,1598,3249,9.781651,8.998622000000001,48.0,2011
94,2011-04-04,spring,4,0,Monday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",25.833257,734,2381,3115,18.946651,19.833314,42.625,2011
95,2011-04-05,spring,4,0,Tuesday,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",26.000488999999998,167,1628,1795,11.465848999999999,10.2911,64.2083,2011
96,2011-04-06,spring,4,0,Wednesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",17.625221,413,2395,2808,10.369150999999999,9.582128,47.0833,2011
97,2011-04-07,spring,4,0,Thursday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",10.874904,571,2570,3141,12.5625,12.623936,60.291700000000006,2011
98,2011-04-08,spring,4,0,Friday,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",15.208464,172,1299,1471,7.784151,5.4156140000000015,83.625,2011
99,2011-04-09,spring,4,0,Saturday,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",8.916561,879,1576,2455,8.0975,6.540914000000001,87.75,2011
100,2011-04-10,spring,4,0,Sunday,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",9.833389,1188,1707,2895,12.053349,12.164641999999997,85.75,2011
101,2011-04-11,spring,4,0,Monday,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",21.739758,855,2493,3348,19.995644,21.304322,71.6956,2011
102,2011-04-12,spring,4,0,Tuesday,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",18.416892999999998,257,1777,2034,15.617499999999996,16.541564,73.9167,2011
103,2011-04-13,spring,4,0,Wednesday,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",16.791338999999997,209,1953,2162,11.3875,11.540678,81.91669999999999,2011
104,2011-04-14,spring,4,0,Thursday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",7.4169,529,2738,3267,13.9725,14.540972,54.041700000000006,2011
105,2011-04-15,spring,4,1,Friday,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",15.167124999999999,642,2484,3126,12.993348999999998,13.166258,67.125,2011
106,2011-04-16,spring,4,0,Saturday,0,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",22.834136,121,674,795,12.249151000000001,12.082472,88.83330000000001,2011
107,2011-04-17,spring,4,0,Sunday,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",20.334232,1558,2186,3744,13.463349000000001,13.415935999999999,47.9583,2011
108,2011-04-18,spring,4,0,Monday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",10.958988999999999,669,2760,3429,16.0875,17.207636,54.25,2011
109,2011-04-19,spring,4,0,Tuesday,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",10.584057,409,2795,3204,15.774151,16.291028000000004,66.5833,2011
110,2011-04-20,spring,4,0,Wednesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",16.208975,613,3331,3944,19.965,21.249872000000003,61.4167,2011
111,2011-04-21,spring,4,0,Thursday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",21.792286,745,3444,4189,13.580849,13.956872,40.708299999999994,2011
112,2011-04-22,spring,4,0,Friday,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",14.707906999999999,177,1506,1683,7.823349,5.248964000000001,72.9583,2011
113,2011-04-23,spring,4,0,Saturday,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",15.458575000000002,1462,2574,4036,13.620000000000001,13.707985999999998,88.79169999999999,2011
114,2011-04-24,spring,4,0,Sunday,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",12.875725000000001,1710,2481,4191,19.338349,20.416358000000002,81.08330000000001,2011
115,2011-04-25,spring,4,0,Monday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",12.417311,773,3300,4073,20.513348999999998,21.917,77.6667,2011
116,2011-04-26,spring,4,0,Tuesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",21.875500000000002,678,3722,4400,21.688349,23.209478000000004,72.9167,2011
117,2011-04-27,spring,4,0,Wednesday,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",20.917399999999997,547,3325,3872,21.14,21.959372000000002,83.54169999999999,2011
118,2011-04-28,spring,4,0,Thursday,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",21.500836000000003,569,3489,4058,21.0225,22.209314,70.08330000000001,2011
119,2011-04-29,spring,4,0,Friday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",16.084221,878,3717,4595,15.969999999999999,16.832558,45.7083,2011
120,2011-04-30,spring,4,0,Saturday,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",15.750025,1965,3347,5312,14.2075,14.625386000000002,50.3333,2011
121,2011-05-01,spring,5,0,Sunday,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",7.125718,1138,2213,3351,13.228348999999998,13.581464,76.2083,2011
122,2011-05-02,spring,5,0,Monday,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",12.291418,847,3554,4401,17.810848999999997,19.166978,73.0,2011
123,2011-05-03,spring,5,0,Tuesday,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",22.958689,603,3848,4451,20.983348999999997,22.417214,69.7083,2011
124,2011-05-04,spring,5,0,Wednesday,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",22.042732,255,2378,2633,11.465848999999999,10.706900000000001,73.70830000000001,2011
125,2011-05-05,spring,5,0,Thursday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",19.791263999999998,614,3819,4433,13.580849,13.166522,44.4167,2011
126,2011-05-06,spring,5,0,Friday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",15.292482,894,3714,4608,14.520849000000002,15.291722,59.0,2011
127,2011-05-07,spring,5,0,Saturday,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",10.750150000000001,1612,3102,4714,16.44,17.832986,54.125,2011
128,2011-05-08,spring,5,0,Sunday,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",5.0007125,1401,2932,4333,16.831651,18.249578,63.1667,2011
129,2011-05-09,spring,5,0,Monday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",11.792,664,3698,4362,17.0275,18.666235999999998,58.875,2011
130,2011-05-10,spring,5,0,Tuesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",7.749956999999999,694,4109,4803,17.0275,18.499586,48.9167,2011
131,2011-05-11,spring,5,0,Wednesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",8.083014,550,3632,4182,17.4975,18.8744,63.29169999999999,2011
132,2011-05-12,spring,5,0,Thursday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",12.707689,695,4169,4864,17.145000000000003,18.541958,74.75,2011
133,2011-05-13,spring,5,0,Friday,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",12.041575,692,3413,4105,16.0875,16.623800000000003,86.33330000000001,2011
134,2011-05-14,spring,5,0,Saturday,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",9.041649999999999,902,2507,3409,16.479150999999998,17.041514,92.25,2011
135,2011-05-15,spring,5,0,Sunday,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",10.249593,1582,2971,4553,18.4375,19.376000000000005,86.70830000000001,2011
136,2011-05-16,spring,5,0,Monday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",8.500357000000001,773,3185,3958,19.142500000000002,20.333792000000003,78.79169999999999,2011
137,2011-05-17,spring,5,0,Tuesday,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",18.582718,678,3445,4123,18.398349,19.542914000000003,83.7917,2011
138,2011-05-18,spring,5,0,Wednesday,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",13.499964,536,3319,3855,17.85,18.792428,87.0,2011
139,2011-05-19,spring,5,0,Thursday,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",7.250271000000001,735,3840,4575,16.949151,17.708972000000003,82.9583,2011
140,2011-05-20,spring,5,0,Friday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",8.375871,909,4008,4917,17.223349,18.916772,71.9583,2011
141,2011-05-21,spring,5,0,Saturday,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",8.083549999999999,2258,3547,5805,20.317500000000003,21.750349999999997,62.6667,2011
142,2011-05-22,spring,5,0,Sunday,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",9.916536,1576,3084,4660,20.395849000000002,21.917,74.9583,2011
143,2011-05-23,spring,5,0,Monday,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",15.667413999999999,836,3438,4274,21.688349,22.959536,81.0,2011
144,2011-05-24,spring,5,0,Tuesday,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",13.875164,659,3833,4492,23.020000000000003,23.917658000000003,74.0833,2011
145,2011-05-25,spring,5,0,Wednesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",10.333611000000001,740,4238,4978,23.059151,24.625772000000005,69.625,2011
146,2011-05-26,spring,5,0,Thursday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",13.376014,758,3919,4677,25.291651,27.209408000000003,67.75,2011
147,2011-05-27,spring,5,0,Friday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",16.125493,871,3808,4679,24.038349000000004,26.042528000000004,65.375,2011
148,2011-05-28,spring,5,0,Saturday,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",15.416164,2001,2757,4758,22.824151,24.417014,72.9583,2011
149,2011-05-29,spring,5,0,Sunday,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",14.333846,2355,2433,4788,23.3725,24.6263,81.875,2011
150,2011-05-30,spring,5,1,Monday,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",8.792075,1549,2549,4098,26.466651,28.292072000000005,68.5,2011
151,2011-05-31,spring,5,0,Tuesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",7.459042999999999,673,3309,3982,28.425000000000004,31.875278,63.6667,2011
152,2011-06-01,spring,6,0,Wednesday,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",13.875164,513,3461,3974,27.915849,31.583822000000005,67.7083,2011
